"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY"
2015,7,11,6,"WN",2632,"N746SW","ATL","DTW",1525,1527,2,18,1545,125,114,90,594,1715,6,1730,1721,-9,0,0,"",NA,NA,NA,NA,NA
2015,7,16,4,"WN",3061,"N465WN","DEN","ATL",1035,1046,11,11,1057,180,165,144,1199,1521,10,1535,1531,-4,0,0,"",NA,NA,NA,NA,NA
2015,6,29,1,"DL",2445,"N959AT","ATL","DAL",1630,1629,-1,14,1643,138,123,104,721,1727,5,1748,1732,-16,0,0,"",NA,NA,NA,NA,NA
2015,6,1,1,"EV",4513,"N11194","ORD","SYR",745,743,-2,17,800,107,110,75,607,1015,18,1032,1033,1,0,0,"",NA,NA,NA,NA,NA
2015,3,26,4,"WN",474,"N8642E","MSY","PHX",1115,1114,-1,11,1125,215,198,182,1300,1227,5,1250,1232,-18,0,0,"",NA,NA,NA,NA,NA
2015,2,24,2,"OO",5518,"N498CA","DEN","ONT",1930,1924,-6,15,1939,142,138,119,819,2038,4,2052,2042,-10,0,0,"",NA,NA,NA,NA,NA
2015,12,17,4,"EV",5339,"N132EV","DTW","TVC",1200,1203,3,21,1224,67,64,40,207,1304,3,1307,1307,0,0,0,"",NA,NA,NA,NA,NA
2015,8,6,4,"UA",1605,"N68811","DEN","LAS",1138,1140,2,19,1159,116,118,92,628,1231,7,1234,1238,4,0,0,"",NA,NA,NA,NA,NA
2015,7,27,1,"DL",788,"N993AT","FAY","ATL",1251,1244,-7,22,1306,89,89,57,331,1403,10,1420,1413,-7,0,0,"",NA,NA,NA,NA,NA
2015,5,1,5,"OO",6471,"N924SW","ABQ","LAX",1813,1806,-7,19,1825,128,128,97,677,1902,12,1921,1914,-7,0,0,"",NA,NA,NA,NA,NA
2015,9,7,1,"WN",863,"N965WN","ISP","BWI",1825,1827,2,10,1837,70,72,58,220,1935,4,1935,1939,4,0,0,"",NA,NA,NA,NA,NA
2015,5,29,5,"DL",2288,"N970DL","ATL","BHM",1345,1341,-4,26,1407,56,59,29,134,1336,4,1341,1340,-1,0,0,"",NA,NA,NA,NA,NA
2015,4,5,7,"EV",5960,"N12122","DEN","LBB",1945,1938,-7,21,1959,90,98,71,456,2210,6,2215,2216,1,0,0,"",NA,NA,NA,NA,NA
2015,2,25,3,"EV",4506,"N14117","IAH","CRW",1250,1246,-4,21,1307,141,135,109,975,1556,5,1611,1601,-10,0,0,"",NA,NA,NA,NA,NA
2015,12,13,7,"DL",765,"N948DL","IAD","ATL",810,806,-4,10,816,124,101,84,534,940,7,1014,947,-27,0,0,"",NA,NA,NA,NA,NA
2015,1,21,3,"AA",2490,"N3AAAA","MIA","IAH",2120,2115,-5,17,2132,174,189,163,964,2315,9,2314,2324,10,0,0,"",NA,NA,NA,NA,NA
2015,11,9,1,"DL",392,"N318US","ATL","ORD",1455,1455,0,19,1514,129,122,88,606,1542,15,1604,1557,-7,0,0,"",NA,NA,NA,NA,NA
2015,11,29,7,"OO",5246,"N730SK","DFW","IAH",520,517,-3,18,535,70,73,48,224,623,7,630,630,0,0,0,"",NA,NA,NA,NA,NA
2015,12,30,3,"UA",634,"N816UA","ORD","EWR",600,600,0,11,611,123,104,89,719,840,4,903,844,-19,0,0,"",NA,NA,NA,NA,NA
2015,9,23,3,"AS",304,"N705AS","SEA","SFO",1820,1816,-4,8,1824,139,121,107,679,2011,6,2039,2017,-22,0,0,"",NA,NA,NA,NA,NA
2015,8,8,6,"AA",142,"N5DFAA","HNL","LAX",2230,2224,-6,24,2248,330,310,282,2556,630,4,700,634,-26,0,0,"",NA,NA,NA,NA,NA
